dateid	type	money_type	category	amount
20141209	2	1	-1	200494000
20141209	2	2	-14	6425500
20141210	1	1	1	173642966
20141210	1	1	29	17313500
20141210	1	1	37	106490000
20141210	1	1	45	1000
20141210	1	1	47	9946000
20141210	1	1	54	765500
20141210	1	1	60	74349500
20141210	1	1	64	6720000
20141210	1	1	65	200000
20141210	1	1	66	97611000
20141210	1	1	67	12340000
20141210	1	1	70	20860000
20141210	1	1	71	1725000
20141210	1	2	4	6440000
20141210	1	2	8	7951200
20141210	1	2	13	3096500
20141210	2	1	-21	4015266
20141210	2	1	-18	136185000
20141210	2	1	-7	706000
20141210	2	1	-6	46465000
20141210	2	1	-1	198331300
20141210	2	2	-14	6983600
20141211	1	1	1	168043629
20141211	1	1	20	2305628
20141211	1	1	29	16502500
20141211	1	1	37	88281500
20141211	1	1	47	9588000
20141211	1	1	54	841000
20141211	1	1	60	72986000
20141211	1	1	64	6690000
20141211	1	1	65	200000
20141211	1	1	66	92528000
20141211	1	1	67	9780000
20141211	1	1	70	17780000
20141211	1	1	71	2012000
20141211	1	2	4	6832000
20141211	1	2	8	7878900
20141211	1	2	13	3337000
20141211	2	1	-22	409800
20141211	2	1	-21	3530398
20141211	2	1	-18	149345000
20141211	2	1	-7	669000
20141211	2	1	-6	46280000
20141211	2	1	-1	207076400
20141211	2	2	-14	7100100
20141212	1	1	1	174243753
20141212	1	1	20	2934456
20141212	1	1	29	17468800
20141212	1	1	37	82411500
20141212	1	1	47	10398000
20141212	1	1	54	869000
20141212	1	1	60	76882000
20141212	1	1	64	6965000
20141212	1	1	65	100000
20141212	1	1	66	98508000
20141212	1	1	67	10310000
20141212	1	1	70	19060000
20141212	1	1	71	2546000
20141212	1	2	4	7380600
20141212	1	2	8	8207500
20141212	1	2	13	3492000
20141212	2	1	-22	373800
20141212	2	1	-21	4563192
20141212	2	1	-18	148057500
20141212	2	1	-7	800000
20141212	2	1	-6	49545000
20141212	2	1	-1	212796200
20141212	2	2	-14	7273900
20141213	1	1	1	189484769
20141213	1	1	20	2960388
20141213	1	1	29	19983400
20141213	1	1	37	86184000
20141213	1	1	47	10412000
20141213	1	1	54	940500
20141213	1	1	60	83121000
20141213	1	1	64	7340000
20141213	1	1	65	230000
20141213	1	1	66	108224000
20141213	1	1	67	14460000
20141213	1	1	70	22280000
20141213	1	1	71	2660000
